,0,Labels
39,"terror cuando sólo se tratan de cuerpos exhumados porque ya no fueron reclamados, eso si no le quito su válidez que nadie sabe p",0
40,orque los cuerpos quedaron en ese estado deshidratado solo hay teorias y eso es algo que se me hace muy interesante.,0
41,"Supuestamente los maestros entran gratis, pero tienes que llevar tu cédula profesional, tu título o en su caso un talón de pago ",0
42,"impreso para hacer válido el acceso gratuito, el personal es muy seco, no te orientan mucho sobre el lugar. Buenos murales y las",0
43," exposiciones son básicas, nada extraordinario.",0
44,Las momias se formaron por un proceso natural y hay como 100 momias. Es muy impresionante. A mi no me gustó. Está lleno de gente,0
45,.,0
46,¿Cuál es el valor de engañar al visitante con una visita a momias? Si lo que ve son cadáveres. NO VAYAN ES UNA ESTAFA.,0
47,No vayan. No vale la pena desperdiciar el tiempo en este museo. Guanajuato tiene lugares mucho más bellos para disfrutar.,0
48,Mal gusto. Un país que honra tanto a sus muertos debería buscarles un lugar tranquilo de descanso y no exponerlos como si fueran,0
49," animales. Lugar curioso pero muy doloroso. Tenéis maravillas muy grandes en Guanajuato, pero esto no lo es.",0
50,Los chicos que organizaron la callejoneada nos abandonaron literalmente y sólo tocaron 6 piezas y un chico se quedó a decir una ,0
51,historia absurda.,0
52,"Si quieres entrar a una sala llena, cero organizada, con cero historia, con cero respeto de mostrar cadáveres de todas los tipos",0
53," y formas, este es el lugar indicado. Me arrepiento del tiempo y dinero invertido en esto.",0
54,¡Se encuentra a 10 min de centro caminando pero de subida! Después de la cansada caminata hicimos fila para entrar de aproximada,0
55,"mente 1 hora. Pagamos 55 pesos por persona por la entrada, ¿y que encontramos? 3 o 4 salones con momias un amontonamiento de gen",0
56,"te y un calor sofocante, porque no tienen aire acondicionado ¿ok?, tienen algunos abanicos para ventilar el lugar. Aparte si qui",0
57,eres tomar fotos por derecho de cámara te cobran 20 pesos aparte de tu entrada. En resumidas me arrepiento de haber perdido mi t,0
58,iempo y dinero en esta atracción.,0
59,"El museo más caro, feo y descuidado que he visitado de la República Mexicana. Es un robo lo que cobran por lo que tienen dentro ",0
60,es una tomada de pelo. Atención turistas.,0
61,"Si vas corto de tiempo, no te molestes en incluir este punto en tu recorrido. Lo que encuentras son playeras con el nombre de la",0
62," cuidad, artesanías de barro y dulces (que igual los encuentras por toda la ciudad y en cada paseo).
Tuve ademas la ocurrencia d",0
63,"e comer aquí y fue lo peor. La chica que me atendió tomaba la comida con las manos, después cobraba, se mordía las uñas y metió ",0
64,el dedo en el agua de fruta de otra persona para sacarle una basurita. Entiendo que era un mercado pero nunca había visto tantos,0
65, hábitos sucios juntos.,0
66,Trampa de turistas. Fila de mínimo una hora para un recorrido de 30 minutos máximo. No vale la pena para la espera y el costo de,0
67,"l museo. Si buscas aprender algo saldrás sin conocer nada de las momias, hay muy pocas explicaciones y no hay ningún guía al que",0
68, puedas hacer preguntas. No vale la pena,0
69,No vale la pena ir a este museo. Puede ser el peor museo que he visitado en la vida. No pierdan su tiempo con tantas cosas hermo,0
70,sas para hacer en Guanajuato. No íbamos a ir pero estaba incluido en un tour organizado por el hotel y nos tocó entrar. Muy feo.,0
71, Le doy la peor calificación. Pésimo.,0
72,"El recorrido no dura más de 30 min, no vale la pena en lo absoluto, realmente hay muchísimos lugares más que visitar en los cual",0
73,"es aprovechar tu tiempo y dinero y en los que SI sales con un poco más de cultura.
Sobre el guía no hay quejas.",0
74,"Poco llamativa realmente, para mi gusto no va más allá de un simple templo común. Se mira más interesante el templo que está al ",0
75,lado del Teatro Juárez.,0
76,"Fui a visitar el callejón pensando que encontraría algo interesante, y solo vi eso, un callejón lleno de turistas, un ""guía"" cob",0
77,"rando a los turistas, y nada más. La verdad, de cualquier cosa se saca un negocio con los turistas.",0
78,Debes visitarla y quedarte a escuchar toda la historia es maravilloso cuando escuchas el relato y es como si te transportaras a ,0
79,"esa epoca, me encanto la visita",0
80,"Los visitantes han dañado el lugar, están grafiteadas las paredes, han colocado candados en los balcones la imagen es muy desagr",0
81,"adable, que pena que dañan algo tan tradicional y con tanta historia.",0
82,Increíble que se haya hecho un museo con cadáveres exhumados de un cementerio en vez de haberles dado sepultura.,0
83,"Ni se molesten en comer algo aquí, abusan si te ven cara de turista. Hasta los refrescos son más caros... Increíblemente encontr",0
84,arán mejores opciones en los cientos de restaurantes que hay en todo Guanajuato.,0
85,"Con eso queda todo dicho. Cadáveres sin aportación alguna a la historia o ciencia, más allá de la curiosidad del proceso natural",0
86," de involuntaria momificación.
Momia de una mujer enterrada viva, otra de una mujer fallecida durante parto con cesárea y de su ",0
87,"feto/bebé...
Personas fallecidas durante los últimos 150 años (cuyos familiares pobres no pudieron seguir pagando su tumba) conv",0
88,"ertidas en atracción turístico-festiva. El museo está organizado de forma muy profesional, pero me parece: vergonzoso, morboso, ",0
89,"irrespetuoso, y seguiría adjetivando. Guanajuato es una localidad espectacular, maravillosa, que lo tiene todo, y no necesita co",0
90,sas como ésta. Habría que reflexionar un poco..,0
91,¡¡¡No vayan en serio no vayan!!! No sólo es un espectáculo morboso pues las momias no tienen ni ropa ni nada que pueda considera,0
92,"rse un aporte cultural, además para entrar pasa uno formando horas y los alrededores o la entrada son asquerosos hay muchísima b",0
93,"asura está más que sucio huele espantoso, no hay sanitarios, es horrible. No vayan.",0
94,"Este museo de tres pisos se vende como sede de muchas obras de Diego Rivera, sin embargo, después de recorrer todo el museo, y a",0
95,"nte la frustración de no encontrar más que dibujos y bocetos, decidí preguntarle a uno de los guardas, aquí me aclaró que las ob",0
96,"ras de dos pisos completos se encuentran en restauración, y en otra exhibición en Japón. No dejando así al público ni una sola h",0
97,ora de pintura para apreciar.,0
98,Fuimos en un tour turístico y este lugar formaba parte del recorrido. ¡TÉTRICO! No sé me ocurre otra palabra para describirlo. O,0
99,bscuros y estrechos pasillos con vitrinas donde se exponen los 'cadáveres' convertidos en momias de forma natural...Su exposició,0
100,"n al público, me parece incluso una total falta de respeto. ¿O será que en vida les preguntaron si les gustaría que la gente los",0
101, visitara en semejante estado?,0
102,El monumento esta bien... pero cuando subes súper sucio. Y el 'museo' consta de 2 réplicas del Pípila.,0
103,"Esta era una de las paradas de nuestro tour, creímos que era algo diferente así que decidimos tomarlo pues creíamos que valía la",0
104," pena, luego nos dimos cuenta que las dichosas momias no eran más que cuerpos deshidratados, cuyas familias no habían pagado un ",0
105,impuesto que en Guanajuato se llama de perpetuidad y eso le permite al estado profanar las tumbas y exhibir aquellos cuerpos que,0
106," están bien conservados ya sea por lo minerales de la tierra el frío o alguna otra cosa que exista en Guanajuato, la verdad fue ",0
107,lo único que no me gustó de esta maravillosa ciudad no se pierden de nada si no van mejor coman una nieve en el centro.,0
108,"Por error tomamos un tour por la ciudad que incluía una parada en este sitio (De hecho el tour no vale la pena, este lugar tampo",0
109,"co).  Como muchas personas lo mencionan, esta pareciera ser un atractivo de la ciudad. Sin embargo, el poco respeto por la digni",0
110,"dad de aquellos que murieron y no pudieron permanecer enterados, le quita cualquier tipo de gracia al lugar. Poco ilustrativo, p",0
111,oco respetuoso con los muertos y sus pasados. No vale la pena ser visitado.,0
112,Hay muchas mejores cosas que hacer en la ciudad. Demasiado cansado para niños pequeños y adultos mayores porque las colas para e,0
113,ntrar duran como 2 hrs y a la interperie. El recorrido es corto a menos que te detengas a ver cada mínimo detalle y leer histori,0
114,"as macabras. La atención al turista es nula. Cero amables y todos con mala cara, pero pues entendible por la cantidad impresiona",0
115,nte de gente que lo visita en periodo de vacaciones.,0
116,"Las famosas momias de Guanajuato. El museo en sí es horrible, y no por lo que exhiben sino como lo exhiben. Mi abuelo me contó q",0
117,ue hace 40 años para visitar las momias había que entrar al panteón pasear entre las tumbas y darle una propina al sepulturero q,0
118,ue levantaba una pesada aldaba para después bajar por una escalera de caracol a la lúgubre cripta. Ahí los cuerpos alineados uno,0
119, tras otro y a ambos lados de un estrecho pasillo había que pasar entre ellas sin cristales de por medio. Suena más escalofriant,0
120,e pero mucho más auténtico... lo debieron haber dejado así y limitar el número de personas que las pudieran visitar diariamente ,0
121,quizás unas 100 y haber cobrado más. Pero bueno se ve que el museo es una muy buena fuente de ingresos para el erario de esta be,0
122,lla ciudad. Recomiendo visitarlo sí y sólo si ya visitaron todas las demás atracciones y bellezas que ofrece Guanajuato si les q,0
123,ueda tiempo pues esta bien.,0
124,"Antes que nada quiero manifestar mi respeto para la gente de la ciudad de Guanajuato, pero la verdad esto de ir a las momias es ",0
125,UNA TOTAL BURLA SEÑORES. Para fines de trasladarte es un total caos y lo peor de todo es que tienes que hacer un filolononoooonn,0
126," hasta parace que estan dando televisores de esas de Gobierno, muchísima gente y la verdad para lo que cuesta y ofrecen, creo qu",0
127,"e no es lo más justo a estudiantes les cobran como 37 y al público en general como 57 o 60 pesos, y lo peor de todo las instalac",0
128,"iones del lugar es un total horno de microondas o un temazcal, por que uff huele mucho a PASUCO, YA SABRAN. No hay nada de venti",0
129,lacion y creánmelo o no las momias estan en vitrimas pero si desprenden olor imaginense sin ventilación y oler eso viejo alguna ,0
130,enfermedad puedes contraer la verdad es un total lavado de dinero en eso de que cuidan y mantienen el lugar con lo que cobran. T,0
131,e pasan a una sección donde de verdad no sé si sea un crematorio o museo por que huele horrible señores la verdad si quieren alg,0
132,"o de calidad vayan a la Ex hacienda del cochero de la Santa inquisición, lo peor de todo es que la gente va en grupos de 30 o 20",0
133," y los guías al final quieren dinero, sí de por si es caro y luego propina... nombre NI LA BURLA PERDONAN.",0
134,"No conseguimos entrar porque nos querian cobrar mas por la camara que por nosotros mismos, no saben como sacar el dinero al turi",0
135,sta,0
136,"Sucio, venden puras baratijas; maloliente. Artesanías de baja calidad. Cada año que voy está peor. Evítenlo",0
137,"Verdaderamente no vale la pena visitar este lugar, es mediocre y las narraciones que ahí se escuchan son penosamente baratas. Ha",0
138,y muchos lugares y espacios mucho más lindos en la ciudad de Guanajuato que sí vale la pena visitar.,0
139,"Lleno de gente, guías que no te dejan en paz y parece baño público porque huele horrible.",0
140,Había escuchado hablar mucho sobre el museo pero la verdad me decepcionó bastante. El museo está muy retirado del centro y la su,0
141,bida se hace pesada. Por otro lado tuvimos que esperar 40 minutos para poder sacar lo tickets ya que estaba atascado de gente. S,0
142,"i no se va con mucho tiempo no merece la pena, hay mil atractivos turísticos en la ciudad de Guanajuato mucho más interesantes q",0
143,ue esto.,0
144,No tiene uno nada que hacer en ese sitio con tantas cosas bellas que conocer en esa hermosa ciudad. En esta ocasión TAMPOCO fuim,0
145,"os, y a decir verdad no tiene sentido ir a eso.",0
146,"Es para gustos peculiares. No me pareció agradable, pero supongo que haya a quienes pueda gustarle. Me sentía mal tomando fotos.",0
147, Recorrido de 10 minutos. No me sorprendió.,0
148,"El callejón de beso es un lugar que todo el mundo visita y está totalmente abandonado, olia a orines, las paredes todas rayadas,",0
149," la pintura vieja, totalmente deteriorado y descuidado.",0
150,"Clásico museo enfadoso que tiene cosas antiguas que a nadie le interesan, tipo ""cuchara de 1995"" o copias de documentos que nadi",0
151,"e va a leer etc, verla por fuera y leer la historia es lo que vale la pena.",0
152,"Cuando te imaginas el mercado de Guanajuato piensas lo mejor, buena comida, muchas cosas típicas y más aun al verlo por fuera, p",0
153,"ero al entrar está horrible, mal cuidado, huele mal, no se antoja comer en el lugar.",0
154,"Pésimo servicio de las personas que atienden los locales para
subir a los balcones, me trataron pésimo al decirles que quería 
t",0
155,"omarme una foto con mi pareja (mujer) a lo cual la persona se
negó a darnos información y mencionaba que solo era para 
hombre y",0
156," mujer, nos trató mal. 
Que triste que estos negocios manejen poca o nula tolerancia
para grupos vulnerables.
Si visitas este lu",0
157,"gar y eres gay, lesbiana, trans corres el riesgo
que te traten mal, que no respeten tus derecho y que además te 
insulten dicien",0
158,"do que si no habíamos entendido era nuestro 
problema, hablándonos con groserías y empujándonos",0
159,This mercado is just like every mercado that I have visited in Mexico. This one is maybe a little worse. The only reason to go i,0
160,s if you need to stock up on fruit and veggies.,0
161,Lo puedes brincar esta lejos y no vale la pena en lo más mínimo mejor visitar las momias en alguna exposición itinerante nosotro,0
162,s Pgamos completo el boleto y no nos incluyeron. Todo el recorrido malo chiquito no vale la pena la vuelta mejor ver otras cosas,0
163,...en gto,0
164,"Es un lugar patético, lo más horrible de Guanajuato, NO entiendo porque es famoso el lugar, sus alrededores muy sucios , el edif",0
165,"icio también no vale la pena gastar el tiempo de tu visita en algo tan pobre, tiendo tantos lugares llenos de cultura en la Ciud",0
166,ad.,0
167,"Lástima el descuido de esta bella propiedad y además de estar en mal estado cobran la entrada, por tomar foto y videos. Es un lu",0
168,"gar con posibilidades, pero no está buenas condiciones.",0
169,"Si vas en pareja es el sitio obligatorio, es especial que subas
y se besen en el tercer escalón, muy romántico y 
emblemático",0
170,"Es un lugar turístico, huele a basura, los vendedores ambulantes afean la zona, está descuidado por las autoridades.",0
171,El museo deja mucho que desear... yo fui hace varios años y simplemente esta muy sin chiste. Tengan cuidado con los 'guías son n,0
172,"ecios y quieren que te estaciones muy lejos del museo, nosotros no batallamos nada para estacionarnos justo en el museo.",0
173,"Muchos años presumí el recuerdo que guardaba de este mercado, con cosas típicas, con musica en vivo y una gran vida dentro, ahor",0
174,"a pude ver productos baratos de importación dudosa y con poca limpieza, no es un lugar que desee mostrar a visitantes a los que ",0
175,presumo Guanajuato o México.,0
176,"Es una atracción pues bonita, pero lo malo es que es muy estrecho y llevan a todos los turistas al famoso callejón, obviamente t",0
177,oda la gente y los amontonamientos le quitan todo lo romántico al callejón.,0
178,"Llegamos 15 minutos antes de cerrar. Y la chica de la entrada muy grosera, no nos permitió entrar diciendo que ella sale a las 2",0
179,:30. Pésimo servicio.,0
180,"Este museo de tres pisos se vende como sede de muchas obras de Diego Rivera, sin embargo, después de recorrer todo el museo, y a",0
181,"nte la frustración de no encontrar más que dibujos y bocetos, decidí preguntarle a uno de los guardas, aquí me aclaró que las ob",0
182,"ras de dos pisos completos se encuentran en restauración, y en otra exhibición en Japón. No dejando así al público ni una sola h",0
183,ora de pintura para apreciar.,0
184,"Es un atractivo turístico, la gente va en fechas de turismo y el Museo no abre para las fechas que la gente va un absurdo total",0
185,Siempre anexan expos (por ejemplo 'El museo de la tortura') para sacar más dinero. ¿Cómo Guanajuato exhibe este museo con orgull,0
186,o teniendo otras opciones históricas y culturales más interesantes? No me parece una propuesta ética 'el acervo' de este museo.,0
187,"Es una lastima y da coraje que la zona turística de callejones
en Guanajuato huele horrible. 
Falta mucha atención y limpieza en",0
188," ese aspecto.
Debería existir cámaras de CCTV en toda esa área, especial-
mente en los rincones donde el olor es nauseabundo deb",0
189,"ido
a orines y excremento",0
190,Las personas que supuestamente cuentan la leyenda del callejón parecen moscas cuando uno llega y tienen modos muy poco amigables,0
191," para el turismo, todo con tal de obtener unos cuantos pesos más.",0
192,"La fachada estilo art noveau y su torre es lo único por lo que le puse dos estrellas. El lugar es un chiquero, sucio, descuidado",0
193,. 70% de los puestos te venden las mismas cosas. Precios de regulares a caros.,0
194,"El lugar está horrible, espacios muy reducidos, dejan entrar tanta gente que ni cabe en las salas y eso que están 'regularizando",0
195,"' la entrada, todo esta manoseado, hay poca ventilación, muy malas condiciones, deplorable. Definitivamente no gastes tu dinero ",0
196,"ahí, mejor ve a gastarlo en dulces en la tienda de La catrina.",0
197,Un lugar que se ha descuidado. Esta sucio y demasiado aglomerado. Definitivamente no es para visitar en familia. Y se requiere d,0
198,e algún orden que administre el sitio.,0
199,"Te cuentan de una leyenda inventada para llevar turistas a un callejón para sacarles propina. No me gusto, no lo recomiendo.",0
200,"El lugar no es categoría para museo, no es apto para niños y personas sensibles a cosas muy impresionantes, la verdad no lo reco",0
201,"miendo si vas con niños menores de 12 años, sugiero leas antes de ir para que veas imágenes en Internet de lo que hay ahí, ya qu",0
202,e no son agradables de vista y es algo muy impactante ya que son personas muertas. Nosotras llevamos a mi bebé y nos salimos a l,0
203,os 2 min es algo que no es apto para menores. Además el lugar esta descuidado.,0
204,"No muestran el fundamento científico sobre el proceso de momificación, sólo muestran cadáveres, algunos de ellos con expresiones",0
205, de miedo y angustia y la zona es horrible.,0
206,"En condiciones mediocres, demasiado personal para lo que es, igual el precio, solo vengan si no conocen las momias y por lo icon",0
207,ico que son para la ciudad pero necesitan una renovación urgenteeeeeeeeeeee.,0
208,"En mi opinión, no me agrado nada entrar a ese lugar, es tenebroso y nada bonito estar viendo muertos momificados, la verdad es u",0
209,n lugar que nunca más volvería a ir pero repito es un lugar que es típico de Guanajuato y mucha gente lo visita.,0
210,"Honestamente, no me parece un lugar para visitar. Ver personas muertas, en mi opinión, debería ser una actividad reservada para ",0
211,científicos. Creo que los cuerpos momificados merecen el respeto de permanecer sepultados. Algunos tienen menos de 20 años. Hay ,0
212,otras cosas que hacer en Guanajuato. No lo recomiendo y menos para personas sencibles. La energía es perturbadora.,0
213,"Pareciera que los guías casi te quieren cobrar por acercarte al callejón cuando es un espacio público, está asqueroso parece y h",0
214,"uele como un baño público sucio, lleno de chicles y rayones. Ojalá hagan algo por rescatar este punto tan atractivo al turismo.",0
215,"En lo personal no me gustó, demaciado creapy e impactante para mí, ver momias de niños, y la historia de lo trágico que mueriero",0
216,n algunos. La energía es pesada y por eso no me gustó.,0
217,"Un callejón estrecho, sin más ni más, con """"""""guías"""""" 
insistiendo en contarte la historia del callejón por una 
módica propina",1
218,", y el lugar a rebentar de gente esperando
para hacer una foto imposible.",1
219,Mmmmm no quisiera volver a ir... ¿ver pura gente muerta? ¿En vacaciones? ¿Señoras con sus bebés? No sé ni porque fui.,1
220,Es el segundo lugar más visitado del estado y ni siquiera es real. ¿Qué onda con eso? A mí no me gustó y no pienso regresar.,1
221,"Me pareció sucio y lleno de vendedores ambulantes que no te permiten disfrutar el lugar y el momento, especialmente por la tarde",1
222, y noche. Lo lindo es que ahí se concentran estudiantiles para salir a las callejoneadas. Que bueno que no seleccioné un hotel d,1
223,"e ahí, no hubiera podido dormir en toda la noche !!!",1
224,"Sí no vas con niños, sin duda lo puedes evitar. La ciudad de Guanajuato ofrece mil cosas mejores. Está a la máxima potencia. Con",1
225," niños sí ve, les da mucha curiosidad.",1
226,"La verdad no ofrece tanto, y pienso que es el museo que más cobra después de el de las momias.",1
227,"Fuimos al museo con la intención de ver las famosas momias de Guanajuato, pero al ver el precio de la entrada se nos quito el án",1
228,"imo. Preguntando por el museo, nos enviaron por unos escalones para subir al panteón; esos escalones son para personas jóvenes, ",1
229,"subimos en partes para poder descansar. Al dejar el panteón, nos dimos cuenta que puedes llegar por una calle sin subir escalone",1
230,s. Demasiado tarde. Falta más información sobre la forma de subir al panteón y museo.,1
231,El lugar está bien cuidado pero con poquísima obra de Diego Rivera; es más bien un lugar anecdótico para entretenerse 15 minutos,1
232,.,1
233,"Está aburrido ir, es algo que puedes ahorrarte, está bonita la vista panorámica de la ciudad pero en sí el monumento está aburri",1
234,do.,1
235,Solo una pequeña explicación de un video en 5 minutos. El museo los recorres en 20. Para mí no vale la pena. Hay sitios mucho má,1
236,s lindos e interesantes en Guanajuato.,1
237,"Es un lugar histórico hecho museo, soy fanática de la historia y realmente salí un poco decepcionada, para empezar, esta carisim",1
238,"o y cuando muestras tu tarjeta de estudiante no te la valen, ponen miles de pretextos, a otra persona hasta el cheque y la nómin",1
239,"a le pidieron. Dentro del museo yo iba con la idea de ver historia de la alhondiga, el famoso pipila etc.. Pero habían más pieza",1
240,"s prehispánicas que nada. Es un lugar obligado de ir en Guanajuato, pero hay que conocer primero la historia del lugar ya que ah",1
241,í no te la dicen.,1
242,"En realidad solo es un lugar para tomarte la foto y decir que fuiste a Gto, porque el lugar no es comódo, esta llenísimo de gent",1
243,"e, vendedores etc, es incomodísimo.",1
244,Conforme entras empieza un holor a humedad tremendo que no te puedes contener y tienes que salir rápido ya que te sientes que te,1
245, ahoga del olor,1
246,"Cuando piensas ,que ya viste todo en la vida, te topas con el Museo de las Momias de Guanajuato. No me gustó, la atmósfera morbi",1
247,"da del lugar, bien como de las terribles historias. Ya me encontraba, mareada y pálida, cuando busque la salida a tomar un poco ",1
248,de aire fresco.,1
249,Si subes por el funicular (que actualmente está clausurado porque se desplomó debido a que el cable se rompió por falta de mante,1
250,"nimiento, lesionando a la operadora y a una turista) te cobran 35 pesos por subir y otros 35 por bajar, te cobran otros 35 por e",1
251,"ntrar al monumento que la verdad no vale la pena. Las escaleras para llegar a la cabina de cristal son muy dificiles de subir, n",1
252,o hay diferencia en la vista y el museo solo exhibe unas piezas del Pípila de plata que otorga el club de Leones a los guanajuat,1
253,enses distinguidos y ya. Si no quieren gastar mucho les recomiendo tomen el camión Pipila-Cerro del Gallo-ISSSTE que por 5 pesos,1
254," los deja en el mismo punto que el funicular, eso sí, rodea un poco y tarda más en llegar. Lo pueden tomar casi en frente del me",1
255,"rcado Hidalgo, por la tienda Del Sol. Si lo que quieren es una vista panorámica de la cidad hay otros puntos, como el tiro de la",1
256," mina de rayas, no tan concurridos, sin guías de turistas molestos y tranquilos que vale la pena visitar.",1
257,Las momias se ven muy bien con una luz adaptada al lugar. Sin embargo es una lástima ver lo poco de explicación en las salas. Un,1
258,a nota chiquita con el nombre de la persona fallecida y a lo mejor una fecha. Se puede contratar un guía pero sin el no se puede,1
259," saber nada de la peculiaridad del subsuelo, del panteón de donde provienen... La museografía no es del nivel de una ciudad tan ",1
260,turística y hermosa como lo es Guanajuato.,1
261,"La ida estuvo estresante ya que tiene calles adyacentes para llegar y no hay señalamientos, el lugar no te asombrará está mal di",1
262,"señado no sigues un orden así que ve con el ánimo de que alguien te empujará y no hagas coraje en vano, no te hagas grandes espe",1
263,ctativas.,1
264,"Visita obligada, pero fuera de la vista y las fotos no hay más que hacer, aprovecha ya que estás ahí para bajar en el teleférico",1
265,.,1
266,"A mí en lo personal no me gustan las momias pero a mi hijo le encantan, yo creo que es un poco caro pero están en buen estado y ",1
267,esta bonito. Cuidado porque ofrecen estacionamiento antes de llegar al museo siendo que en el museo hay lugar para estacionarse ,1
268,y también cobran. También tienes que pagar una cuota por sacar fotos.,1
269,"Te acosan los vendedores desde unos metros antes y en realidad no hay mucho que ver, ya fui una vez y tal vez no vuelvo.",1
270,"Otra visita a este lugar y cerrado, por el 19 marzo lunes, por el puente del 21 de marzo. Turistas no importan. Muy mal.",1
271,"Un museo bastante característico de esta ciudad, sin embargo, demasiado concurrido y no se puede apreciar buen debido a lo mismo",1
272, ya que dejan entrar a mucha gente al mismo tiempo y si te toca que alguien esté dando la explicación no puedes escuchar ni acer,1
273,carte por la cantidad de gente.,1
274,"La vista desde allí es la mejor de Guanajuato, sin embargo me parece que es todo lo que puede ofrecer, para llegar a él desde el",1
275, centro existe un funicular el cual me parece muy caro.,1
276,"Aunque se trata de un sitio obligado para el visitante es muy desagradable encontrarse con ""narradores de la leyenda"" alcoholiza",1
277,"dos utilizando palabras altisonantes siendo muy molestos para los visitantes. Es importante ""limpiar"" este sitio de personas que",1
278, sólo afectan la imagen del lugar.,1
279,"Este imponente monumento a un personaje tan importante en el estado esta en malas condiciones, hay mucho ambulantaje, el área es",1
280,"tá sucia, el tráfico es desquiciante, pero sobre todo los vendedores más que insistentes, esto debería ser más cuidado por las a",1
281,utoridades.,1
282,"La ciudad es maravillosa, las callejonadas muy bonitas, pero el callejón del beso es una leyenda muy explotada a un límite que p",1
283,"ienso debe tener más orden. No sé quién se encargue de esto pero es demasiado lo que se explota el lugar, comerciantes gente pid",1
284,"iendo propinas por las fotos, otros apresurandote para que te muevas, pero en fin.",1
285,"Pues fuimos un grupo de amigos a visitar el famoso mueseo de las momias, para nuestra sorpresa nos encontramos que tienen a las ",1
286,"momias muy descuidadas algunas hasta con hongos, puesto que es uno de los sitios más visitados en Guanadjuato creo que las autor",1
287,idades deberían invertir un poco más en el museo para darles algo de mantenimiento y tener a las pobres momias en mejores condic,1
288,"iones. A un lado del museo de las momias hay otra exposición sobre la muerte o algo así, la verdad, no la recomiendo para nada, ",1
289,"no gasten su dinero en esa exposición, las momias pues interesante sólo el hecho de que las tienen en condiciones muy desfavorab",1
290,les.,1
291,"Muy famosas las momias para lo que realmente son, forman parte de un bizarro atractivo perdido en el tiempo. El museo esta muy d",1
292,"ecaído y descuidado. Existen muchas cosas mas atractivas en Guanajuato, dejemos mejor a los muertos descansar en paz.",1
